08/07/2019 13:35	926,397	-1,18E-15	08/07/2019 13:36	931,488	1,68E-12	08/07/2019 13:36	936,579	2,36E-12	08/07/2019 13:36	941,666	8,17E-11	08/07/2019 13:36	946,755	1,53E-11	08/07/2019 13:36	951,844	1,37E-12	08/07/2019 13:36	956,934	8,51E-13	08/07/2019 13:36	967,091	5,35E-14	08/07/2019 13:36	972,188	1,62E-13	08/07/2019 13:36	977,282	5,35E-14	08/07/2019 13:36	982,374	2,45E-12	08/07/2019 13:36	987,469	3,64E-09
08/07/2019 13:37	997,626	-1,18E-15	08/07/2019 13:37	1002,714	1,67E-12	08/07/2019 13:37	1007,8	2,35E-12	08/07/2019 13:37	1012,894	8,15E-11	08/07/2019 13:37	1017,985	1,52E-11	08/07/2019 13:37	1023,077	1,37E-12	08/07/2019 13:37	1028,168	8,50E-13	08/07/2019 13:37	1038,32	5,29E-14	08/07/2019 13:37	1043,409	1,59E-13	08/07/2019 13:37	1048,504	5,37E-14	08/07/2019 13:38	1053,599	2,45E-12	08/07/2019 13:38	1058,691	3,62E-09
08/07/2019 13:38	1068,848	-1,54E-15	08/07/2019 13:38	1073,941	1,67E-12	08/07/2019 13:38	1079,033	2,35E-12	08/07/2019 13:38	1084,127	8,14E-11	08/07/2019 13:38	1089,22	1,52E-11	08/07/2019 13:38	1094,314	1,37E-12	08/07/2019 13:38	1099,408	8,46E-13	08/07/2019 13:38	1109,566	5,37E-14	08/07/2019 13:39	1114,661	1,53E-13	08/07/2019 13:39	1119,755	5,79E-14	08/07/2019 13:39	1124,847	2,49E-12	08/07/2019 13:39	1129,94	3,61E-09
08/07/2019 13:39	1140,095	-1,56E-15	08/07/2019 13:39	1145,184	1,67E-12	08/07/2019 13:39	1150,276	2,34E-12	08/07/2019 13:39	1155,368	8,12E-11	08/07/2019 13:39	1160,46	1,52E-11	08/07/2019 13:39	1165,551	1,36E-12	08/07/2019 13:39	1170,642	8,43E-13	08/07/2019 13:40	1180,799	4,92E-14	08/07/2019 13:40	1185,892	1,74E-13	08/07/2019 13:40	1190,988	5,21E-14	08/07/2019 13:40	1196,079	2,46E-12	08/07/2019 13:40	1201,171	3,60E-09
08/07/2019 13:40	1211,322	-2,41E-15	08/07/2019 13:40	1216,416	1,67E-12	08/07/2019 13:40	1221,508	2,34E-12	08/07/2019 13:40	1226,603	8,11E-11	08/07/2019 13:41	1231,694	1,52E-11	08/07/2019 13:41	1236,785	1,36E-12	08/07/2019 13:41	1241,878	8,40E-13	08/07/2019 13:41	1252,034	5,05E-14	08/07/2019 13:41	1257,127	1,61E-13	08/07/2019 13:41	1262,216	5,02E-14	08/07/2019 13:41	1267,309	2,46E-12	08/07/2019 13:41	1272,4	3,58E-09
08/07/2019 13:41	1282,552	-3,73E-15	08/07/2019 13:41	1287,643	1,66E-12	08/07/2019 13:42	1292,738	2,33E-12	08/07/2019 13:42	1297,827	8,10E-11	08/07/2019 13:42	1302,92	1,51E-11	08/07/2019 13:42	1308,014	1,36E-12	08/07/2019 13:42	1313,105	8,35E-13	08/07/2019 13:42	1323,257	4,56E-14	08/07/2019 13:42	1328,353	1,56E-13	08/07/2019 13:42	1333,446	5,89E-14	08/07/2019 13:42	1338,542	2,43E-12	08/07/2019 13:42	1343,636	3,55E-09
08/07/2019 13:43	1353,796	-2,30E-15	08/07/2019 13:43	1358,892	1,66E-12	08/07/2019 13:43	1363,983	2,33E-12	08/07/2019 13:43	1369,075	8,08E-11	08/07/2019 13:43	1374,168	1,51E-11	08/07/2019 13:43	1379,264	1,36E-12	08/07/2019 13:43	1384,357	7,19E-13	08/07/2019 13:43	1394,513	5,80E-14	08/07/2019 13:43	1399,603	1,88E-13	08/07/2019 13:43	1404,696	6,02E-14	08/07/2019 13:43	1409,789	2,88E-12	08/07/2019 13:44	1414,884	1,07E-09
08/07/2019 13:44	1425,041	-2,58E-15	08/07/2019 13:44	1430,134	1,60E-12	08/07/2019 13:44	1435,229	2,32E-12	08/07/2019 13:44	1440,322	8,12E-11	08/07/2019 13:44	1445,413	1,52E-11	08/07/2019 13:44	1450,505	1,36E-12	08/07/2019 13:44	1455,595	2,10E-13	08/07/2019 13:44	1465,75	4,52E-14	08/07/2019 13:44	1470,842	1,53E-13	08/07/2019 13:45	1475,934	5,40E-14	08/07/2019 13:45	1481,025	2,34E-12	08/07/2019 13:45	1486,118	8,70E-10
08/07/2019 13:45	1496,27	-1,26E-15	08/07/2019 13:45	1501,362	1,60E-12	08/07/2019 13:45	1506,457	2,33E-12	08/07/2019 13:45	1511,55	8,10E-11	08/07/2019 13:45	1516,643	1,52E-11	08/07/2019 13:45	1521,734	1,36E-12	08/07/2019 13:45	1526,827	1,97E-13	08/07/2019 13:46	1536,978	5,01E-14	08/07/2019 13:46	1542,073	1,64E-13	08/07/2019 13:46	1547,168	5,10E-14	08/07/2019 13:46	1552,261	2,25E-12	08/07/2019 13:46	1557,352	8,30E-10
08/07/2019 13:46	1567,506	-3,30E-15	08/07/2019 13:46	1572,6	1,59E-12	08/07/2019 13:46	1577,69	2,35E-12	08/07/2019 13:46	1582,783	8,09E-11	08/07/2019 13:46	1587,872	1,52E-11	08/07/2019 13:47	1592,963	1,36E-12	08/07/2019 13:47	1598,054	1,90E-13	08/07/2019 13:47	1608,21	5,11E-14	08/07/2019 13:47	1613,302	1,48E-13	08/07/2019 13:47	1618,396	5,52E-14	08/07/2019 13:47	1623,486	2,31E-12	08/07/2019 13:47	1628,578	8,09E-10
08/07/2019 13:47	1638,739	-1,90E-15	08/07/2019 13:47	1643,834	1,59E-12	08/07/2019 13:47	1648,926	2,35E-12	08/07/2019 13:48	1654,014	8,07E-11	08/07/2019 13:48	1659,106	1,52E-11	08/07/2019 13:48	1664,195	1,36E-12	08/07/2019 13:48	1669,289	1,86E-13	08/07/2019 13:48	1679,446	4,86E-14	08/07/2019 13:48	1684,534	1,58E-13	08/07/2019 13:48	1689,624	5,51E-14	08/07/2019 13:48	1694,716	2,25E-12	08/07/2019 13:48	1699,824	7,58E-10
08/07/2019 13:48	1709,98	-2,37E-15	08/07/2019 13:49	1715,073	1,59E-12	08/07/2019 13:49	1720,168	2,35E-12	08/07/2019 13:49	1725,259	8,06E-11	08/07/2019 13:49	1730,351	1,52E-11	08/07/2019 13:49	1735,442	1,35E-12	08/07/2019 13:49	1740,533	1,82E-13	08/07/2019 13:49	1750,697	4,48E-14	08/07/2019 13:49	1755,79	1,52E-13	08/07/2019 13:49	1760,884	5,63E-14	08/07/2019 13:49	1765,976	2,31E-12	08/07/2019 13:49	1771,069	7,46E-10
08/07/2019 13:50	1781,225	-3,70E-15	08/07/2019 13:50	1786,315	1,58E-12	08/07/2019 13:50	1791,407	2,34E-12	08/07/2019 13:50	1796,501	8,04E-11	08/07/2019 13:50	1801,59	1,51E-11	08/07/2019 13:50	1806,681	1,35E-12	08/07/2019 13:50	1811,768	1,81E-13	08/07/2019 13:50	1821,924	4,86E-14	08/07/2019 13:50	1827,016	1,64E-13	08/07/2019 13:51	1832,109	5,35E-14	08/07/2019 13:51	1837,202	2,32E-12	08/07/2019 13:51	1842,294	7,36E-10
08/07/2019 13:51	1852,452	-2,41E-15	08/07/2019 13:51	1857,544	1,58E-12	08/07/2019 13:51	1862,639	2,33E-12	08/07/2019 13:51	1867,729	8,03E-11	08/07/2019 13:51	1872,825	1,51E-11	08/07/2019 13:51	1877,917	1,35E-12	08/07/2019 13:51	1883,009	1,78E-13	08/07/2019 13:52	1893,168	4,70E-14	08/07/2019 13:52	1898,264	1,64E-13	08/07/2019 13:52	1903,354	5,27E-14	08/07/2019 13:52	1908,448	2,30E-12	08/07/2019 13:52	1913,543	7,29E-10
08/07/2019 13:52	1923,698	-2,31E-15	08/07/2019 13:52	1928,791	1,58E-12	08/07/2019 13:52	1933,887	2,32E-12	08/07/2019 13:52	1938,98	8,01E-11	08/07/2019 13:52	1944,073	1,51E-11	08/07/2019 13:52	1949,163	1,35E-12	08/07/2019 13:53	1954,254	1,75E-13	08/07/2019 13:53	1964,415	4,59E-14	08/07/2019 13:53	1969,505	1,63E-13	08/07/2019 13:53	1974,596	5,67E-14	08/07/2019 13:53	1979,691	2,31E-12	08/07/2019 13:53	1984,783	7,21E-10
08/07/2019 13:53	1994,937	-2,57E-15	08/07/2019 13:53	2000,028	1,58E-12	08/07/2019 13:53	2005,122	2,31E-12	08/07/2019 13:53	2010,213	8,00E-11	08/07/2019 13:54	2015,301	1,50E-11	08/07/2019 13:54	2020,392	1,34E-12	08/07/2019 13:54	2025,481	1,74E-13	08/07/2019 13:54	2035,634	5,54E-14	08/07/2019 13:54	2040,728	1,63E-13	08/07/2019 13:54	2045,82	5,68E-14	08/07/2019 13:54	2050,912	2,31E-12	08/07/2019 13:54	2056,002	7,15E-10
